ID,DateTimeOfCall,Year,FinYear,Date,HourOfCall,WeekNumber,WeekDay,DayOfWeek,StnGroundName,OperationType,Animal,PumpCount,PumpHours,HourlyCost,IncidentCost,TrueCost,PostcodeDistrict,Borough,BoroughCode,Ward,WardCode,Street,Latitude,Longitude,PropertyType,PropertyCategory,OriginOfCall,Description,Restored
20090101030100,2009-01-01 03:01:00,2009,2008/09,2009-01-01,3,1,4,Thursday,Norbury,Other Animal Assistance,Dog,1,2,255,510,510,SE19,Croydon,E09000008,Crystal Palace & Upper Norwood,E05011467,Waddington Way,51.4175260453,-0.0815828235,House - Single Occupancy ,Dwelling,Person,,True
20090101085100,2009-01-01 08:51:00,2009,2008/09,2009-01-01,8,1,4,Thursday,Woodside,Other Animal Assistance,Fox,1,1,255,255,255,SE25,Croydon,E09000008,Woodside,E05000169,Grasmere Road,51.3909537081,-0.0641668865,Railings,Outdoor Structure,Person,,False
20090104100700,2009-01-04 10:07:00,2009,2008/09,2009-01-04,10,1,7,Sunday,Wallington,Animal Rescue From Below Ground,Dog,1,1,255,255,255,SM5,Sutton,E09000029,Carshalton Central,E05013756,Mill Lane,51.3689408648,-0.1619851907,Pipe Or Drain ,Outdoor Structure,Person,,False
20090105122700,2009-01-05 12:27:00,2009,2008/09,2009-01-05,12,2,1,Monday,Ruislip,Animal Rescue From Water,Horse,1,1,255,255,255,UB9,Hillingdon,E09000017,Harefield Village,E05013568,Park Lane,51.6052834423,-0.489683853,"Intensive Farming Sheds (Chickens, Pigs Etc) ",Non Residential,Person,,False
20090106152300,2009-01-06 15:23:00,2009,2008/09,2009-01-06,15,2,2,Tuesday,Harold Hill,Other Animal Assistance,Rabbit,1,1,255,255,255,RM3,Havering,E09000016,Gooshays,E05013971,Swindon Lane,51.6098196,0.2333873007,House - Single Occupancy ,Dwelling,Person,,True
20090106193000,2009-01-06 19:30:00,2009,2008/09,2009-01-06,19,2,2,Tuesday,Dagenham,Other Animal Assistance,Other Farm Animal,1,1,255,255,255,RM10,Barking And Dagenham,E09000002,Alibon,E05014054,Rogers Road,51.543562,0.1593562623,House - Single Occupancy ,Dwelling,Person,,True
20090107062900,2009-01-07 06:29:00,2009,2008/09,2009-01-07,6,2,3,Wednesday,Leytonstone,Other Animal Assistance,Dog,1,1,255,255,255,E11,Waltham Forest,E09000031,Cathall,E05013883,Holloway Road,51.5572208585,0.0038801983,Park ,Outdoor,Person,,False
20090107115500,2009-01-07 11:55:00,2009,2008/09,2009-01-07,11,2,3,Wednesday,Leytonstone,Animal Rescue From Water,Dog,1,1,255,255,255,E12,Redbridge,E09000026,Wanstead,E05000515,Aldersbrook Road,51.5610668824,0.0374337764,Lake/Pond/Reservoir ,Outdoor,Person,,False
20090107134800,2009-01-07 13:48:00,2009,2008/09,2009-01-07,13,2,3,Wednesday,Addington,Animal Rescue From Height,Squirrel,1,1,255,255,255,CR0,Croydon,E09000008,New Addington North,E05011470,Brockham Crescent,51.350555,-0.0240421889,House - Single Occupancy ,Dwelling,Person,,True
20090107212400,2009-01-07 21:24:00,2009,2008/09,2009-01-07,21,2,3,Wednesday,Stoke Newington,Animal Rescue From Water,Dog,1,1,255,255,255,E5,Hackney,E09000012,Lea Bridge,E05009380,Southwold Road,51.563313524,-0.047620955,River/Canal ,Outdoor,Person,,False
20090108143400,2009-01-08 14:34:00,2009,2008/09,2009-01-08,14,2,4,Thursday,Orpington,Animal Rescue From Height,Cat,1,1,255,255,255,BR5,Bromley,E09000006,St. Paul'S Cray,E05014007,Tilbury Close,51.4036625965,0.1117223394,Tree Scrub ,Outdoor,Person,,False
20090108192300,2009-01-08 19:23:00,2009,2008/09,2009-01-08,19,2,4,Thursday,Clapham,Animal Rescue From Water,Bird,1,2,255,510,510,SW11,Wandsworth,E09000032,Battersea Park,E05014010,Battersea Park,51.4799425293,-0.148525691,Lake/Pond/Reservoir ,Outdoor,Person,,False
20090109110100,2009-01-09 11:01:00,2009,2008/09,2009-01-09,11,2,5,Friday,Peckham,Other Animal Assistance,Dog,1,1,255,255,255,SE5,Southwark,E09000028,Camberwell Green,E05000535,Valmar Road,51.4720987632,-0.093952949,Car ,Road Vehicle,Person,,False
20090109111800,2009-01-09 11:18:00,2009,2008/09,2009-01-09,11,2,5,Friday,Dagenham,Other Animal Assistance,Dog,1,1,255,255,255,RM10,Barking And Dagenham,E09000002,Eastbrook & Rush Green,E05014059,Rainham Road North,51.5569359932,0.1612583568,Other Animal Boarding/Breeding Establishment,Non Residential,Person,,False
20090109124000,2009-01-09 12:40:00,2009,2008/09,2009-01-09,12,2,5,Friday,Richmond,Animal Rescue From Height,Cat,1,1,255,255,255,TW10,Richmond Upon Thames,E09000027,South Richmond,E05013786,Church Road,51.4576878259,-0.29580467,Tree Scrub ,Outdoor,Person,,False
20090109134300,2009-01-09 13:43:00,2009,2008/09,2009-01-09,13,2,5,Friday,Woodside,Animal Rescue From Height,Cat,1,1,255,255,255,SE25,Croydon,E09000008,Woodside,E05011489,Belmont Road,51.3920579843,-0.0629703251,Tree Scrub ,Outdoor,Person,,False
20090109143000,2009-01-09 14:30:00,2009,2008/09,2009-01-09,14,2,5,Friday,New Cross,Animal Rescue From Height,Cat,1,1,255,255,255,SE4,Lewisham,E09000023,Telegraph Hill,E05013732,Bessingham Walk,51.4573822781,-0.0451207816,Wasteland ,Outdoor,Person,,False
20090109143900,2009-01-09 14:39:00,2009,2008/09,2009-01-09,14,2,5,Friday,Norbury,Animal Rescue From Below Ground,Dog,1,1,255,255,255,SW16,Lambeth,E09000022,Streatham Common & Vale,E05014112,Streatham Common South,51.4214344299,-0.1173915083,Woodland/Forest - Broadleaf/Hardwood ,Outdoor,Ambulance,,False
20090110093500,2009-01-10 09:35:00,2009,2008/09,2009-01-10,9,2,6,Saturday,Old Kent Road,Animal Rescue From Height,Other Domestic Animal,1,1,255,255,255,SE17,Southwark,E09000028,East Walworth,E05000540,Balfour Street,51.4932709202,-0.0913846323,Park ,Outdoor,Person,,False
20090110100900,2009-01-10 10:09:00,2009,2008/09,2009-01-10,10,2,6,Saturday,Purley,Other Animal Assistance,Dog,1,1,255,255,255,CR8,Croydon,E09000008,Purley,E05000159,Brighton Road,51.3416799259,-0.1108403703,Road Surface/Pavement ,Outdoor,Person,,False
20090110112700,2009-01-10 11:27:00,2009,2008/09,2009-01-10,11,2,6,Saturday,Old Kent Road,Animal Rescue From Height,Cat,1,1,255,255,255,SE17,Southwark,E09000028,East Walworth,E05000540,Balfour Street,51.4933160879,-0.0913971511,Park ,Outdoor,Person,,False
20090110122600,2009-01-10 12:26:00,2009,2008/09,2009-01-10,12,2,6,Saturday,Poplar,Other Animal Assistance,Cat,1,1,255,255,255,E14,Tower Hamlets,E09000030,Lansbury,E05009325,Brownfield Street,51.51524,-0.013624,Purpose Built Flats/Maisonettes - Up To 3 Storeys ,Dwelling,Person,,True
20090110123200,2009-01-10 12:32:00,2009,2008/09,2009-01-10,12,2,6,Saturday,Harrow,Animal Rescue From Below Ground,Dog,1,1,255,255,255,HA1,Harrow,E09000015,Harrow On The Hill,E05013547,Roxborough Avenue,51.5766820696,-0.3407583616,Road Surface/Pavement ,Outdoor,Person,,False
20090110130500,2009-01-10 13:05:00,2009,2008/09,2009-01-10,13,2,6,Saturday,Barking,Other Animal Assistance,Cat,1,1,255,255,255,IG11,Barking And Dagenham,E09000002,Barking Riverside,E05014055,Stern Close,51.5283164733,0.119072708,Private Garage ,Non Residential,Person,,False
20090110132800,2009-01-10 13:28:00,2009,2008/09,2009-01-10,13,2,6,Saturday,Hendon,Animal Rescue From Water,Dog,1,1,255,255,255,NW4,Barnet,E09000003,Hendon,E05013643,Green Walk,51.5859404877,-0.2112407943,Lake/Pond/Reservoir ,Outdoor,Person,,False
20090110163800,2009-01-10 16:38:00,2009,2008/09,2009-01-10,16,2,6,Saturday,Poplar,Animal Rescue From Height,Cat,1,1,255,255,255,E3,Tower Hamlets,E09000030,Bromley North,E05009321,Hancock Road,51.5265979849,-0.0096897661,Cycle Path/Public Footpath/Bridleway ,Outdoor,Person,,False
20090111101100,2009-01-11 10:11:00,2009,2008/09,2009-01-11,10,2,7,Sunday,Kensington,Animal Rescue From Water,Dog,2,3,255,765,1530,SW7,Westminster,E09000033,Knightsbridge & Belgravia,E05013797,Hyde Park,51.5049663227,-0.1678146072,Lake/Pond/Reservoir ,Outdoor,Person,,False
20090111123200,2009-01-11 12:32:00,2009,2008/09,2009-01-11,12,2,7,Sunday,Hornchurch,Animal Rescue From Height,Bird,1,1,255,255,255,RM12,Havering,E09000016,Hylands & Harrow Lodge,E05013976,Albany Road,51.5589309715,0.1962088289,Domestic Garden (Vegetation Not Equipment) ,Outdoor,Person,,False
20090112131000,2009-01-12 13:10:00,2009,2008/09,2009-01-12,13,3,1,Monday,Barking,Animal Rescue From Height,Cat,1,1,255,255,255,RM9,Barking And Dagenham,E09000002,Eastbury,E05014060,Canonsleigh Road,51.5363584833,0.097235,House - Single Occupancy ,Dwelling,Person,,True
20090112163900,2009-01-12 16:39:00,2009,2008/09,2009-01-12,16,3,1,Monday,Barking,Other Animal Assistance,Dog,1,1,255,255,255,IG11,Barking And Dagenham,E09000002,Gascoigne,E05014061,Tomlins Orchard,51.5332636958,0.077790345,Park ,Outdoor,Person,,False
20090114063800,2009-01-14 06:38:00,2009,2008/09,2009-01-14,6,3,3,Wednesday,Bromley,Other Animal Assistance,Dog,1,1,255,255,255,BR1,Lewisham,E09000023,Downham,E05013720,Shroffold Road,51.428745,0.005137,House - Single Occupancy ,Dwelling,Person,,True
20090115123800,2009-01-15 12:38:00,2009,2008/09,2009-01-15,12,3,4,Thursday,Clapham,Animal Rescue From Height,Bird,1,1,255,255,255,SW8,Lambeth,E09000022,Stockwell West & Larkhall,E05014111,Deeley Road,51.4742602126,-0.1332756135,Wasteland ,Outdoor,Person,,False
20090117114000,2009-01-17 11:40:00,2009,2008/09,2009-01-17,11,3,6,Saturday,Chiswick,Animal Rescue From Below Ground,Dog,1,1,255,255,255,W4,Hounslow,E09000018,Chiswick Homefields,E05013610,Dan Mason Drive,51.4770345207,-0.2526456278,Public Toilets ,Non Residential,Person,,False
20090117180800,2009-01-17 18:08:00,2009,2008/09,2009-01-17,18,3,6,Saturday,Southall,Other Animal Assistance,Dog,1,2,255,510,510,UB2,Ealing,E09000009,Norwood Green,E05013533,Armstrong Way,51.5058167712,-0.366000236,Railings,Outdoor Structure,Person,,False
20090118110800,2009-01-18 11:08:00,2009,2008/09,2009-01-18,11,3,7,Sunday,Kentish Town,Animal Rescue From Below Ground,Cat,1,1,255,255,255,NW5,Camden,E09000007,Haverstock,E05013660,Malden Place,51.543703,-0.148816,Purpose Built Flats/Maisonettes - Up To 3 Storeys ,Dwelling,Person,,True
20090118161900,2009-01-18 16:19:00,2009,2008/09,2009-01-18,16,3,7,Sunday,Harold Hill,Animal Rescue From Height,Cat,1,1,255,255,255,RM3,Havering,E09000016,Gooshays,E05013971,Swindon Lane,51.6087707512,0.2333181795,Park ,Outdoor,Person,,False
20090121004300,2009-01-21 00:43:00,2009,2008/09,2009-01-21,0,4,3,Wednesday,Dagenham,Other Animal Assistance,Dog,1,1,255,255,255,RM8,Barking And Dagenham,E09000002,Valence,E05014069,Greenway,51.55626051475,0.1364638098833333,House - Single Occupancy ,Dwelling,Person,,True
20090121103300,2009-01-21 10:33:00,2009,2008/09,2009-01-21,10,4,3,Wednesday,Lambeth,Animal Rescue From Water,Fox,2,3,255,765,1530,SE1,Lambeth,E09000022,Vauxhall,E05014117,Albert Embankment,51.4913973454,-0.1212677465,Beach ,Outdoor,Person,,False
20090121140400,2009-01-21 14:04:00,2009,2008/09,2009-01-21,14,4,3,Wednesday,Kingston,Animal Rescue From Below Ground,Dog,1,2,255,510,510,TW10,Richmond Upon Thames,E09000027,"Ham, Petersham & Richmond Riverside",E05013777,Ham Gate Avenue,51.4329783949,-0.2903798075,Park ,Outdoor,Person,,False
20090121215500,2009-01-21 21:55:00,2009,2008/09,2009-01-21,21,4,3,Wednesday,New Malden,Other Animal Assistance,Fox,1,1,255,255,255,KT3,Kingston Upon Thames,E09000021,New Malden Village,E05013940,Welbeck Close,51.4003991198,-0.2488230272,House - Single Occupancy ,Dwelling,Person,,True
20090122213500,2009-01-22 21:35:00,2009,2008/09,2009-01-22,21,4,4,Thursday,Stanmore,Other Animal Assistance,Bird,1,1,255,255,255,HA8,Harrow,E09000015,Edgware,E05013545,Broomgrove Gardens,51.5994920589,-0.2701788234,House - Single Occupancy ,Dwelling,Person,,True
20090124103100,2009-01-24 10:31:00,2009,2008/09,2009-01-24,10,4,6,Saturday,Hammersmith,Animal Rescue From Below Ground,Cat,1,1,255,255,255,SW13,Richmond Upon Thames,E09000027,Barnes,E05013774,Lonsdale Road,51.4794726215,-0.232967857,Tenement Building ,Dwelling,Person,,True
20090125102600,2009-01-25 10:26:00,2009,2008/09,2009-01-25,10,4,7,Sunday,Holloway,Animal Rescue From Below Ground,Cat,1,1,255,255,255,N19,Islington,E09000019,Hillrise,E05013705,Fairbridge Road,51.5665471461,-0.1261931503,Railway ,Outdoor,Person,,False
20090125121100,2009-01-25 12:11:00,2009,2008/09,2009-01-25,12,4,7,Sunday,Heston,Animal Rescue From Water,Dog,2,3,255,765,1530,TW8,Hounslow,E09000018,Syon & Brentford Lock,E05013627,Commerce Road,51.4841448691,-0.3151559024,River/Canal ,Outdoor,Police,,False
20090125152700,2009-01-25 15:27:00,2009,2008/09,2009-01-25,15,4,7,Sunday,Woodside,Animal Rescue From Height,Other Domestic Animal,1,1,255,255,255,SE25,Croydon,E09000008,Woodside,E05011489,Belmont Road,51.3920579843,-0.0629703251,Domestic Garden (Vegetation Not Equipment) ,Outdoor,Person,,False
20090125160100,2009-01-25 16:01:00,2009,2008/09,2009-01-25,16,4,7,Sunday,Sutton,Other Animal Assistance,Dog,1,1,255,255,255,SM1,Sutton,E09000029,Sutton Central,E05013765,Carshalton Road,51.3611851635,-0.1912108251,Park ,Outdoor,Person,,False
20090127104900,2009-01-27 10:49:00,2009,2008/09,2009-01-27,10,5,2,Tuesday,Deptford,Animal Rescue From Height,Squirrel,1,1,255,255,255,SE8,Lewisham,E09000023,Deptford,E05013719,Creekside,51.4762319476,-0.0215761717,Vehicle Repair Workshop,Non Residential,Person,,False
20090127112100,2009-01-27 11:21:00,2009,2008/09,2009-01-27,11,5,2,Tuesday,Euston,Animal Rescue From Height,Cat,1,1,255,255,255,NW1,Camden,E09000007,St. Pancras & Somers Town,E05013669,Royal College Street,51.5284918521,-0.1389477558,House - Single Occupancy ,Dwelling,Person,,True
20090127171800,2009-01-27 17:18:00,2009,2008/09,2009-01-27,17,5,2,Tuesday,Eltham,Other Animal Assistance,Dog,1,1,255,255,255,SE9,Greenwich,E09000011,Eltham Town & Avery Hill,E05014079,Footscray Road,51.449123386,0.0601219786,Football Stadium ,Non Residential,Person,,False
20090128134000,2009-01-28 13:40:00,2009,2008/09,2009-01-28,13,5,3,Wednesday,Leytonstone,Animal Rescue From Height,Cat,1,2,255,510,510,E11,Waltham Forest,E09000031,Cann Hall,E05013882,Ferndale Road,51.5632105914,0.0132907425,Tree Scrub ,Outdoor,Person,,False
20090128144100,2009-01-28 14:41:00,2009,2008/09,2009-01-28,14,5,3,Wednesday,Beckenham,Animal Rescue From Height,Cat,1,1,255,255,255,SE20,Bromley,E09000006,Penge & Cator,E05014002,Queen Adelaide Road,51.410838,-0.046301,Purpose Built Flats/Maisonettes - Up To 3 Storeys ,Dwelling,Person,,True
20090130104300,2009-01-30 10:43:00,2009,2008/09,2009-01-30,10,5,5,Friday,Stratford,Other Animal Assistance,Other Farm Animal,1,1,255,255,255,E15,Newham,E09000025,Maryland,E05013917,Maryland Square,51.54847,0.0113916287,Other Dwelling ,Dwelling,Person,,True
20090130121700,2009-01-30 12:17:00,2009,2008/09,2009-01-30,12,5,5,Friday,Old Kent Road,Other Animal Assistance,Dog,1,1,255,255,255,SE17,Southwark,E09000028,Faraday,E05011102,Thurlow Street,51.4870959565,-0.0926588805,Purpose Built Flats/Maisonettes - 10 Or More Storeys ,Dwelling,Person,,True
20090130233600,2009-01-30 23:36:00,2009,2008/09,2009-01-30,23,5,5,Friday,Erith,Animal Rescue From Water,Dog,1,1,255,255,255,DA8,Bexley,E09000004,Erith,E05000075,Erith High Street,51.4833653531,0.1820613425,River/Canal ,Outdoor,Person,,False
20090131094700,2009-01-31 09:47:00,2009,2008/09,2009-01-31,9,5,6,Saturday,Hornsey,Animal Rescue From Below Ground,Dog,1,1,255,255,255,N10,Haringey,E09000014,Muswell Hill,E05013594,St. James Lane,51.5885023626,-0.1389177274,Pipe Or Drain ,Outdoor Structure,Person,,False
20090201084800,2009-02-01 08:48:00,2009,2008/09,2009-02-01,8,5,7,Sunday,Hillingdon,Animal Rescue From Height,Cat,1,1,255,255,255,UB10,Hillingdon,E09000017,Ickenham & South Harefield,E05013573,Long Lane,51.565712,-0.4703299635,House - Single Occupancy ,Dwelling,Person,,True
20090201093000,2009-02-01 09:30:00,2009,2008/09,2009-02-01,9,5,7,Sunday,Mill Hill,Animal Rescue From Below Ground,Fox,1,1,255,255,255,NW9,Barnet,E09000003,Burnt Oak,E05013630,The Greenway,51.5977060466,-0.2575315158,Park ,Outdoor,Person,,False
